cnt,date,year,month,day,janken,special,season,int_gu,int_ch,int_pa
1317,2018-01-07,2018,1,7,1,1,1,2,3,1
1318,2018-01-14,2018,1,14,0,,,3,1,2
1319,2018-01-21,2018,1,21,1,,,1,2,3
1320,2018-01-28,2018,1,28,0,,,2,1,4
1321,2018-02-04,2018,2,4,2,,,1,2,5
1322,2018-02-11,2018,2,11,0,,,2,3,1
1323,2018-02-18,2018,2,18,1,,,1,4,2
1324,2018-02-25,2018,2,25,1,,,2,1,3
1325,2018-03-04,2018,3,4,2,,,3,1,4
1326,2018-03-11,2018,3,11,0,,,4,2,1
1327,2018-03-18,2018,3,18,0,,,1,3,2
1328,2018-03-25,2018,3,25,1,,,1,4,3
1329,2018-04-01,2018,4,1,1,,1,2,1,4
1330,2018-04-08,2018,4,8,0,,,3,1,5
1331,2018-04-15,2018,4,15,2,,,1,2,6
1332,2018-04-22,2018,4,22,2,,,2,3,1
1333,2018-04-29,2018,4,29,1,,,3,4,1
1334,2018-05-06,2018,5,6,0,,,4,1,2
1335,2018-05-13,2018,5,13,1,,,1,2,3
1336,2018-05-20,2018,5,20,2,,,2,1,4
1337,2018-05-27,2018,5,27,0,,,3,2,1
1338,2018-06-03,2018,6,3,1,,,1,3,2
1339,2018-06-10,2018,6,10,0,,,2,1,3
1340,2018-06-17,2018,6,17,2,,,1,2,4
1341,2018-06-24,2018,6,24,2,,,2,3,1
1342,2018-07-01,2018,7,1,1,,1,3,4,1
1343,2018-07-08,2018,7,8,0,,,4,1,2
1344,2018-07-15,2018,7,15,2,,,1,2,3
1345,2018-07-22,2018,7,22,0,,,2,3,1
1346,2018-07-29,2018,7,29,1,,,1,4,2
1347,2018-08-05,2018,8,5,1,,,2,1,3
1348,2018-08-12,2018,8,12,2,,,3,1,4
1349,2018-08-19,2018,8,19,0,,,4,2,1
1350,2018-08-26,2018,8,26,0,,,1,3,2
1351,2018-09-02,2018,9,2,2,,,1,4,3
1352,2018-09-09,2018,9,9,1,1,,2,5,1
1353,2018-09-16,2018,9,16,0,,,3,1,2
1354,2018-09-23,2018,9,23,1,,,1,2,3
1355,2018-09-30,2018,9,30,2,,,2,1,4
1356,2018-10-07,2018,10,7,1,,1,3,2,1
1357,2018-10-14,2018,10,14,0,,,4,1,2
1358,2018-10-21,2018,10,21,2,,,1,2,3
1359,2018-11-04,2018,11,4,2,,,2,3,1
1360,2018-11-11,2018,11,11,1,,,3,4,1
1361,2018-11-18,2018,11,18,1,,,4,1,2
1362,2018-11-25,2018,11,25,0,,,5,1,3
1363,2018-12-02,2018,12,2,0,,,1,2,4
1364,2018-12-09,2018,12,9,2,,,1,3,5
1365,2018-12-16,2018,12,16,1,,,2,4,1
1366,2019-01-06,2019,1,6,1,1,1,3,1,2
1367,2019-01-13,2019,1,13,2,,,4,1,3
1368,2019-01-20,2019,1,20,0,,,5,2,1
1369,2019-01-27,2019,1,27,1,,,1,3,2
1370,2019-02-03,2019,2,3,0,,,2,1,3
1371,2019-02-10,2019,2,10,2,,,1,2,4
1372,2019-02-17,2019,2,17,2,,,2,3,1
1373,2019-02-24,2019,2,24,1,,,3,4,1
1374,2019-03-03,2019,3,3,1,,,4,1,2
1375,2019-03-10,2019,3,10,0,,,5,1,3
1376,2019-03-17,2019,3,17,1,,,1,2,4
1377,2019-03-24,2019,3,24,2,,,2,1,5
1378,2019-03-31,2019,3,31,0,,,3,2,1
1379,2019-04-07,2019,4,7,1,,1,1,3,2
1380,2019-04-14,2019,4,14,1,,,2,1,3
1381,2019-04-21,2019,4,21,0,,,3,1,4
1382,2019-04-28,2019,4,28,2,,,1,2,5
1383,2019-05-05,2019,5,5,1,,,2,3,1
1384,2019-05-12,2019,5,12,2,,,3,1,2
1385,2019-05-19,2019,5,19,0,,,4,2,1
1386,2019-05-26,2019,5,26,0,,,1,3,2
1387,2019-06-02,2019,6,2,1,,,1,4,3
1388,2019-06-09,2019,6,9,2,,,2,1,4
1389,2019-06-16,2019,6,16,0,,,3,2,1
1390,2019-06-23,2019,6,23,1,,,1,3,2
1391,2019-06-30,2019,6,30,2,,,2,1,3
1392,2019-07-07,2019,7,7,1,,1,3,2,1
1393,2019-07-14,2019,7,14,0,,,4,1,2
1394,2019-07-21,2019,7,21,1,,,1,2,3
1395,2019-07-28,2019,7,28,2,,,2,1,4
1396,2019-08-04,2019,8,4,2,,,3,2,1
1397,2019-08-11,2019,8,11,0,,,4,3,1
1398,2019-08-18,2019,8,18,1,,,1,4,2
1399,2019-08-25,2019,8,25,0,,,2,1,3
1400,2019-09-01,2019,9,1,1,,,1,2,4
1401,2019-09-08,2019,9,8,2,,,2,1,5
1402,2019-09-15,2019,9,15,0,,,3,2,1
1403,2019-09-22,2019,9,22,2,,,1,3,2
1404,2019-09-29,2019,9,29,1,,,2,4,1
1405,2019-10-06,2019,10,6,1,,1,3,1,2
1406,2019-10-13,2019,10,13,0,,,4,1,3
1407,2019-10-20,2019,10,20,2,,,1,2,4
1408,2019-10-27,2019,10,27,0,,,2,3,1
1409,2019-11-03,2019,11,3,1,1,,1,4,2
1410,2019-11-10,2019,11,10,2,,,2,1,3
1411,2019-11-17,2019,11,17,1,,,3,2,1
1412,2019-11-24,2019,11,24,1,1,,4,1,2
1413,2019-12-01,2019,12,1,0,,,5,1,3
1414,2019-12-08,2019,12,8,2,,,1,2,4
1415,2019-12-15,2019,12,15,0,,,2,3,1
1416,2019-12-22,2019,12,22,1,,,1,4,2
1417,2019-12-29,2019,12,29,2,,,2,1,3
1418,2020-01-05,2020,1,5,1,,1,3,2,1
1419,2020-01-12,2020,1,12,0,,,4,1,2
1420,2020-01-26,2020,1,26,2,,,1,2,3
1421,2020-02-02,2020,2,2,1,1,,2,3,1
1422,2020-02-09,2020,2,9,2,,,3,1,2
1423,2020-02-16,2020,2,16,2,,,4,2,1
1424,2020-02-23,2020,2,23,0,,,5,3,1
1425,2020-03-01,2020,3,1,1,,,1,4,2
1426,2020-03-08,2020,3,8,0,,,2,1,3
1427,2020-03-15,2020,3,15,1,,,1,2,4
1428,2020-03-22,2020,3,22,2,,,2,1,5
1429,2020-03-29,2020,3,29,0,,,3,2,1
1430,2020-04-05,2020,4,5,1,,1,1,3,2
1431,2020-04-12,2020,4,12,1,,,2,1,3
1432,2020-04-19,2020,4,19,2,,,3,1,4
1433,2020-04-26,2020,4,26,0,,,4,2,1
1434,2020-05-03,2020,5,3,1,,,1,3,2
1435,2020-05-10,2020,5,10,2,,,2,1,3
1436,2020-05-17,2020,5,17,2,,,3,2,1
1437,2020-05-24,2020,5,24,2,,,4,3,1
1438,2020-05-31,2020,5,31,2,,,5,4,1
1439,2020-06-07,2020,6,7,2,,,6,5,1
1440,2020-06-14,2020,6,14,1,,,7,6,1
1441,2020-06-21,2020,6,21,2,,,8,1,2
1442,2020-06-28,2020,6,28,0,,,9,2,1
1443,2020-07-05,2020,7,5,1,,1,1,3,2
